"1312.4415","Zaid Towfic","Zaid J. Towfic and Ali H. Sayed","Adaptive Penalty-Based Distributed Stochastic Convex Optimization","13 pages, 1 figure",,"10.1109/TSP.2014.2331615",,"math.OC cs.DC cs.MA","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  In this work, we study the task of distributed optimization over a network of
learners in which each learner possesses a convex cost function, a set of
affine equality constraints, and a set of convex inequality constraints. We
propose a fully-distributed adaptive diffusion algorithm based on penalty
methods that allows the network to cooperatively optimize the global cost
function, which is defined as the sum of the individual costs over the network,
subject to all constraints. We show that when small constant step-sizes are
employed, the expected distance between the optimal solution vector and that
obtained at each node in the network can be made arbitrarily small. Two
distinguishing features of the proposed solution relative to other related
approaches is that the developed strategy does not require the use of
projections and is able to adapt to and track drifts in the location of the
minimizer due to changes in the constraints or in the aggregate cost itself.
The proposed strategy is also able to cope with changing network topology, is
robust to network disruptions, and does not require global information or rely
on central processors.
","[{""version"":""v1"",""created"":""Mon, 16 Dec 2013 16:01:08 GMT""}]","2015-06-18"
"1312.4726","Taekyun Kim","D. V. Dolgy, D. S. Kim, T. G. Kim, J. J. Seo","Identities of symmetry for higher-order generalized q-Euler polyonmials","8 pages",,,,"math.NT","http://creativecommons.org/licenses/by-nc-sa/3.0/","  In this paper, we investigate the properties of symmetry in two variables
related to multiple Euler q-l-function which interpolates higher-order q-Euler
polynomials at negative integers. From our investigation, we can derive many
interesting identities of symmetry in two variables related to generalized
higher-order q-Euler polynomials and alternating generalized q-power sums.
","[{""version"":""v1"",""created"":""Tue, 17 Dec 2013 11:42:59 GMT""}]","2013-12-18"
"1312.4727","Reema Al-Aifari","Reema Al-Aifari, Michel Defrise and Alexander Katsevich","Asymptotic analysis of the SVD for the truncated Hilbert transform with
  overlap","25 pages",,,,"math.CA math.SP","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The truncated Hilbert transform with overlap $H_T$ is an operator that arises
in tomographic reconstruction from limited data, more precisely in the method
of Differentiated Back-Projection (DBP). Recent work [1] has shown that the
singular values of this operator accumulate at both zero and one. To better
understand the properties of the operator and, in particular, the ill-posedness
of the inverse problem associated with it, it is of interest to know the rates
at which the singular values approach zero and one. In this paper, we exploit
the property that $H_T$ commutes with a second-order differential operator
$L_S$ and the global asymptotic behavior of its eigenfunctions to find the
asymptotics of the singular values and singular functions of $H_T$.
","[{""version"":""v1"",""created"":""Tue, 17 Dec 2013 11:45:14 GMT""}]","2013-12-18"
"1312.4728","David S. Dean","David S. Dean and Rudolf Podgornik","Relaxation of the thermal Casimir force between net neutral plates
  containing Brownian charges","10 pages, RevTex, I figure. Final Published version, title change
  with respect to initial preprint, figure added, protocol for model slightly
  modified","Phys. Rev. E 89, 032117 (2014)","10.1103/PhysRevE.89.032117",,"cond-mat.stat-mech","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We investigate the dynamics of thermal Casimir interactions between plates
described within a living conductor model, with embedded mobile anions and
cations, whose density field obeys a stochastic partial differential equation
which can be derived starting from the Langevin equations of the individual
particles. This model describes the thermal Casimir interaction in the same way
that the fluctuating dipole model describes van der Waals interactions. The
model is analytically solved in a Debye-H\""uckel-like approximation. We
identify several limiting dynamical regimes where the time dependence of the
thermal Casimir interactions can be obtained explicitly. Most notably we find a
regime with diffusive scaling, even though the charges are confined to the
plates and do not diffuse into the intervening space, which makes the diffusive
scaling difficult to anticipate and quite unexpected on physical grounds.
","[{""version"":""v1"",""created"":""Tue, 17 Dec 2013 11:46:58 GMT""},{""version"":""v2"",""created"":""Thu, 27 Mar 2014 18:12:16 GMT""}]","2015-06-18"
"1312.4729","Daniel Rayneau-Kirkhope","Daniel Rayneau-Kirkhope, Yong Mao, Robert Farr","Optimisation of fractal spaceframes under gentle compressive load","8 pages, 6 figures","Phys. Rev. E 87, 063204 (2013)","10.1103/PhysRevE.87.063204",,"physics.class-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The principle of hierarchical design is a prominent theme in many natural
systems where mechanical efficiency is of importance. Here we establish the
properties of a particular hierarchical structure, showing that high mechanical
efficiency is found in certain loading regimes. We show that in the limit of
gentle loading, the optimal hierarchical order increases without bound. We show
that the scaling of material required for stability against loading to be
withstood can be altered in a systematic, beneficial manner through
manipulation of the number of structural length scales optimised upon. We
establish the relationship between the Hausdorff dimension of the optimal
structure and loading for which the structure is optimised. Practicalities of
fabrication are discussed and examples of hierarchical frames of the same
geometry constructed from solid beams are shown.
","[{""version"":""v1"",""created"":""Tue, 17 Dec 2013 11:47:05 GMT""}]","2013-12-18"
"1312.4730","Giuseppe Pucacco","Antonella Marchesiello and Giuseppe Pucacco","Equivariant singularity analysis of the 2:2 resonance","28 pages, 2 figures","Nonlinearity 27 (2014) 43-66","10.1088/0951-7715/27/1/43",,"nlin.CD math-ph math.MP","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We present a general analysis of the bifurcation sequences of 2:2 resonant
reversible Hamiltonian systems invariant under spatial $\Z_2\times\Z_2$
symmetry. The rich structure of these systems is investigated by a singularity
theory approach based on the construction of a universal deformation of the
detuned Birkhoff normal form. The thresholds for the bifurcations are computed
as asymptotic series also in terms of physical quantities for the original
system.
","[{""version"":""v1"",""created"":""Tue, 17 Dec 2013 11:48:52 GMT""}]","2013-12-18"
"1312.4731","Vladimir Panov","Denis Belomestny and Vladimir Panov","Statistical inference for exponential functionals of L\'evy processes","28 pages, 5 figures",,,,"stat.OT math.PR","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  In this paper, we consider the exponential functional
\(A_{\infty}=\int_0^\infty e^{-\xi_s}ds\) of a L{\'e}vy process \(\xi_s\) and
aim to estimate the characteristics of \(\xi_{s}\) from the distribution of
\(A_{\infty}\). We present a new approach, which allows to statistically infer
on the L{\'e}vy triplet of \(\xi_{t}\), and study the theoretical properties of
the proposed estimators. The suggested algorithms are illustrated with
numerical simulations.
","[{""version"":""v1"",""created"":""Tue, 17 Dec 2013 11:51:36 GMT""}]","2013-12-27"
"1312.4732","Matteo Rossi","C. Macchiavello, M. Rossi","Detection methods to rule out completely co-positive and bi-entangling
  operations","6 pages, 2 figures","J. Phys.: Conf. Ser. 470, 012005 (2013)","10.1088/1742-6596/470/1/012005",,"quant-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  In this work we extend the quantum channel detection method developed in
[Phys. Rev. A 88, 042335 (2013)] and [Phys. Script. T153, 014044 (2013)] in
order to detect other interesting convex sets of quantum channels. First we
work out a procedure to detect non completely co-positive maps. Then we focus
on the set of so-called bi-entangling operations and show how a map outside
this set can be revealed. In both cases we provide explicit examples showing
the theoretical technique and the corresponding experimental procedure.
","[{""version"":""v1"",""created"":""Tue, 17 Dec 2013 11:52:52 GMT""}]","2013-12-18"
"1312.4733","Tigran Nazaryan","T. A. Nazaryan, A. R. Petrosian, A. A. Hakobyan, B. J. McLean, D.
  Kunth","Close pairs of galaxies with different activity levels","4 pages, 3 figures. arXiv admin note: substantial text overlap with
  arXiv:1310.0241","Multiwavelength AGN Surveys and Studies, Proceedings of the
  International Astronomical Union, IAU Symposium, Volume 304, pp.327-330, 2014","10.1017/S1743921314004189",,"astro-ph.GA astro-ph.CO","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We selected and studied 180 pairs with dV < 800 km/s and Dp < 60 kpc
containing Markarian (MRK) galaxies to investigate the dependence of galaxies'
integral parameters, star-formation (SF) and active galactic nuclei (AGN)
properties on kinematics of pairs, their structure and large-scale
environments. Projected radial separation Dp and perturbation level P are
better measures of interaction strength than dV. The latter correlates with the
density of large-scale environment and with the morphologies of galaxies. Both
galaxies in a pair are of the same nature, the only difference is that MRK
galaxies are usually righter than their neighbors. Specific star formation
rates (SSFR) of galaxies in pairs with smaller Dp or dV is in average 0.5 dex
higher than that of galaxies in pairs with larger Dp or dV. Closeness of a
neighbor with the same and later morphological type increases the SSFR, while
earlier-type neighbors do not increase SSFR. Major interactions/mergers trigger
SF and AGN more effectively than minor ones. The fraction of AGNs is higher in
more perturbed pairs and pairs with smaller Dp. AGNs typically are in stronger
interacting systems than star-forming and passive galaxies. There are
correlations of both SSFRs and spectral properties of nuclei between pair
members.
","[{""version"":""v1"",""created"":""Tue, 17 Dec 2013 11:53:44 GMT""},{""version"":""v2"",""created"":""Sun, 24 Aug 2014 12:51:48 GMT""}]","2014-08-26"
"1312.4734","Jacopo Forneris","J. Forneris, V. Grilj, M. Jaksic, P. Olivero, F. Picollo, N. Skukan,
  C. Verona, G. Verona-Rinati, E. Vittone","Measurement and modelling of anomalous polarity pulses in a
  multi-electrode diamond detector","8 pages, 4 figures",,"10.1209/0295-5075/104/28005",,"cond-mat.mtrl-sci physics.ins-det","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  In multi-electrode detectors, the motion of excess carriers generated by
ionizing radiation induces charge pulses at the electrodes, whose intensities
and polarities depend on the geometrical, electrostatic and carriers transport
properties of the device. The resulting charge sharing effects may lead to
bipolar currents, pulse height defects and anomalous polarity signals affecting
the response of the device to ionizing radiation. This latter effect has
recently attracted attention in commonly used detector materials, but different
interpretations have been suggested, depending on the material, the geometry of
the device and the nature of the ionizing radiation. In this letter, we report
on the investigation in the formation of anomalous polarity pulses in a
multi-electrode diamond detector with buried graphitic electrodes. In
particular, we propose a purely electrostatic model based on the
Shockley-Ramo-Gunn theory, providing a satisfactory description of anomalous
pulses observed in charge collection efficiency maps measured by means of Ion
Beam Induced Charge (IBIC) microscopy, and suitable for a general application
in multi-electrode devices and detectors.
","[{""version"":""v1"",""created"":""Tue, 17 Dec 2013 11:56:35 GMT""}]","2013-12-18"
"1312.4735","Oksana Polischuk","O.G. Polischuk, P. Belli, R. Bernabei, F. Cappella, V. Caracciolo, R.
  Cerulli, A. Di Marco, F.A. Danevich, A. Incicchitti, D.V. Poda, V.I. Tretyak","Radioactive contamination of BaF2 crystal scintillator","Contribution to Proc. of Int. Workshop on Radiopure Scintillators
  RPSCINT 2013, 17-20.09.2013, Kyiv, Ukraine; to be published in EPJ Web of
  Conferences; 4 pages, 7 figure and 1 table",,,,"nucl-ex physics.ins-det","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Barium fluoride (BaF$_2$) crystal scintillators are promising detectors to
search for double beta decay processes in $^{130}$Ba ($Q_{2{\beta}}$ = 2619(3)
keV) and $^{132}$Ba ($Q_{2{\beta}}$ = 844(1) keV). The $^{130}$Ba isotope is of
particular interest because of the indications on 2${\beta}$ decay found in two
geochemical experiments. The radioactive contamination of BaF$_2$ scintillation
crystal with mass of 1.714 kg was measured over 113.4 hours in a low-background
DAMA/R&D set-up deep underground (3600 m w.e.) at the Gran Sasso National
Laboratories of INFN (LNGS, Italy). The half-life of $^{212}$Po (present in the
crystal scintillator due to contamination by radium) was estimated as $T_{1/2}$
= 298.8 $\pm$ 0.8(stat.) $\pm$ 1.4(syst.) ns by analysis of the events pulse
profiles.
","[{""version"":""v1"",""created"":""Tue, 17 Dec 2013 12:00:42 GMT""}]","2013-12-18"
"1312.4736","Lihwai Lin","Lihwai Lin, Hung-Yu Jian, Sebastien Foucaud, Peder Norberg, R. G.
  Bower, Shaun Cole, Pablo Arnalte-Mur, Chin-Wei Chen, Jean Coupon, Bau-Ching
  Hsieh, Sebastien Heinis, Stefanie Phleps, Wen-Ping Chen, Chien-Hsiu Lee,
  William Burgett, K. C. Chambers, L. Denneau, P. Draper, H. Flewelling, K. W.
  Hodapp, M. E. Huber, N. Kaiser, R.-P. Kudritzki, E. A. Magnier, N. Metcalfe,
  Paul A. Price, J. L. Tonry, R. J. Wainscoat, C. Waters","The Pan-STARRS1 Medium-Deep Survey: The role of galaxy group environment
  in the star formation rate versus stellar mass relation and quiescent
  fraction out to $z \sim 0.8$","19 pages, 10 figures, ApJ accepted","Astrophysical Journal 782:33, 2014","10.1088/0004-637X/782/1/33",,"astro-ph.CO","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Using a large sample of field and group galaxies drawn from the Pan-STARRS1
Medium-Deep Survey, we present the specific star formation rate (SSFR) -
stellar mass (M*) relation, as well as the quiescent fraction versus M*
relation in different environments. We confirm that the fraction of quiescent
galaxies is strongly dependent on environment at a fixed stellar mass, but that
the amplitude and the slope of the star-forming sequence is similar between the
field and groups: in other words, the SSFR-density relation at a fixed stellar
mass is primarily driven by the change in the star-forming and quiescent
fractions between different environments rather than a global suppression in
the star formation rate for the star-forming population. However, when we
restrict our sample to the cluster-scale environments ($M>10^{14}M_{solar}$),
we find a global reduction in the SSFR of the star forming sequence of $17\%$
at 4$\sigma$ confidence as opposed to its field counterpart. After removing the
stellar mass dependence of the quiescent fraction seen in field galaxies, the
excess in the quiescent fraction due to the environment quenching in groups and
clusters is found to increase with stellar mass. We argue that these results
are in favor of galaxy mergers to be the primary environment quenching
mechanism operating in galaxy groups whereas strangulation is able to reproduce
the observed trend in the environment quenching efficiency and stellar mass
relation seen in clusters. Our results also suggest that the relative
importance between mass quenching and environment quenching depends on stellar
mass -- the mass quenching plays a dominant role in producing quiescent
galaxies for more massive galaxies, while less massive galaxies are quenched
mostly through the environmental effect, with the transition mass around
$1-2\times10^{10}M_{solar}$ in the group/cluster environment. (abridged)
","[{""version"":""v1"",""created"":""Tue, 17 Dec 2013 12:04:45 GMT""}]","2015-06-18"
"1312.4737","Silvan Schmid","Silvan Schmid, Kaiyu Wu, Peter Emil Larsen, Tomas Rindzevicius, Anja
  Boisen","Low-power photothermal probing of single plasmonic nanostructures with
  nanomechanical string resonators",,,"10.1021/nl4046679",,"cond-mat.mes-hall physics.optics","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We demonstrate the direct photothermal probing and mapping of single
plasmonic nanostructures via the temperature induced detuning of nanomechanical
string resonators. Single Au nanoslits are illuminated with a low-power
polarized focused laser beam ({\lambda} = 633 nm). Polarization dependent heat
generation in gold nanoslits is then imaged with high sensitivity. A
sensitivity of -4.1 ppm/nW with respect to the illuminated light (beam diameter
5.0pm0.8 {\mu}m) is determined for a single nanoslit (1 {\mu}m long and 53 nm
wide), which equals to a total light absorption of 16%. This results in a
heating of 0.5 K for an illuminance of 8 nW/{\mu}m2. Our results show that
nanomechanical resonators are a unique and robust analysis tool for the
low-power investigation of thermoplasmonic effects in plasmonic hot spots.
","[{""version"":""v1"",""created"":""Tue, 17 Dec 2013 12:08:26 GMT""}]","2014-04-25"
"1312.4738","N.D. Hari Dass","N.D. Hari Dass","Freeman Dyson and Gravitational Spin Precession","8 pages in LaTeX, to be published in the Proceedings of the
  Conference in honor of 90th birthday of Freeman Dyson(World Scientific)",,,,"gr-qc","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  In 1974 Hulse and Taylor discovered the binary pulsar. At that time Prof.
Dyson was visiting the Max Planck Institute for Physics at Munich, where I was
also working. He initiated a number of discussions on this object. During them
it occurred to me that this system could be used to test Geodetic Precession in
Einsteins theory, which, even after years of work by the Stanford gyroscope
expt, had remained a challenge. I showed some preliminary calculations to Prof
Dyson and he encouraged me to do a more refined job. To be applicable to the
binary pulsar, one needed to generalise the general relativistic calculations
to beyond the so called test particle assumption. Barker and OConnell had
obtained such a result from analysing the gravitational interactions of spin
half Dirac fermions in linearized spin 2 theories of gravitation. With C.F. Cho
I produced a purely classical calculation, using Schwingers Source theory.
Boerner, Ehlers and Rudolf confirmed this result with their general
relativistic calculations shortly after. With V. Radhakrishnan, I gave a
detailed model for the pulse width and polarization sweep as a means of
observing this effect. All throughout Prof. Dyson was supportive with reading
the manuscripts and his critical comments. In 2005, coincidentally the
centennial of the Annus Mirabilis(1905), Hotan, Bailes and Ord observed this in
the binary pulsar J1141 6545.
","[{""version"":""v1"",""created"":""Tue, 17 Dec 2013 12:09:06 GMT""}]","2013-12-18"
"1312.4739","Brendon Lovett","G. Pica, B. W. Lovett, R. N Bhatt and S. A. Lyon","Exchange coupling between silicon donors: the crucial role of the
  central cell and mass anisotropy","Published version. Corrected b and B values from previous version","Phys. Rev. B 89 235306 (2014)","10.1103/PhysRevB.89.235306",,"cond-mat.mes-hall quant-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Donors in silicon are now demonstrated as one of the leading candidates for
implementing qubits and quantum information processing. Single qubit
operations, measurements and long coherence times are firmly established, but
progress on controlling two qubit interactions has been slower. One reason for
this is that the inter donor exchange coupling has been predicted to oscillate
with separation, making it hard to estimate in device designs. We present a
multivalley effective mass theory of a donor pair in silicon, including both a
central cell potential and the effective mass anisotropy intrinsic in the Si
conduction band. We are able to accurately describe the single donor properties
of valley-orbit coupling and the spatial extent of donor wave functions,
highlighting the importance of fitting measured values of hyperfine coupling
and the orbital energy of the $1s$ levels. Ours is a simple framework that can
be applied flexibly to a range of experimental scenarios, but it is nonetheless
able to provide fast and reliable predictions. We use it to estimate the
exchange coupling between two donor electrons and we find a smoothing of its
expected oscillations, and predict a monotonic dependence on separation if two
donors are spaced precisely along the [100] direction.
","[{""version"":""v1"",""created"":""Tue, 17 Dec 2013 12:09:07 GMT""},{""version"":""v2"",""created"":""Tue, 8 Jul 2014 16:31:43 GMT""}]","2014-07-09"
"1312.4740","Yalong Bai","Yalong Bai, Kuiyuan Yang, Wei Yu, Wei-Ying Ma, Tiejun Zhao","Learning High-level Image Representation for Image Retrieval via
  Multi-Task DNN using Clickthrough Data",,,,,"cs.CV","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Image retrieval refers to finding relevant images from an image database for
a query, which is considered difficult for the gap between low-level
representation of images and high-level representation of queries. Recently
further developed Deep Neural Network sheds light on automatically learning
high-level image representation from raw pixels. In this paper, we proposed a
multi-task DNN learned for image retrieval, which contains two parts, i.e.,
query-sharing layers for image representation computation and query-specific
layers for relevance estimation. The weights of multi-task DNN are learned on
clickthrough data by Ring Training. Experimental results on both simulated and
real dataset show the effectiveness of the proposed method.
","[{""version"":""v1"",""created"":""Tue, 17 Dec 2013 12:11:04 GMT""},{""version"":""v2"",""created"":""Sat, 21 Dec 2013 00:47:19 GMT""}]","2013-12-24"
"1312.4741","Victor Goncalves","J. T. Amaral, V. P. Goncalves, M. S. Kugeratski","Probing gluon number fluctuation effects in future electron-hadron
  colliders","10 pages, 5 figures. Improved version to be published in Nuclear
  Physics A","Nuc. Phys. A 930 (2014) 104","10.1016/j.nuclphysa.2014.08.015",,"hep-ph hep-ex","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The description of the QCD dynamics in the kinematical range which will be
probed in the future electron - hadron colliders is still an open question.
Although phenomenological studies indicate that the gluon number fluctuations,
which are related to discreteness in the QCD evolution, are negligible at HERA,
the magnitude of these effects for the next generation of colliders still
should be estimated. In this paper we investigate inclusive and diffractive
$ep$ observables considering a model for the physical scattering amplitude
which describes the HERA data. Moreover, we estimate, for the first time, the
contribution of the fluctuation effects for the nuclear structure functions.
Our results indicate that the study of these observables in the future
colliders can be useful to constrain the presence of gluon number fluctuations.
","[{""version"":""v1"",""created"":""Tue, 17 Dec 2013 12:15:22 GMT""},{""version"":""v2"",""created"":""Thu, 7 Aug 2014 14:32:27 GMT""}]","2014-10-28"
"1312.4742","J\""urgen M\""unch","Alexis Ocampo, Fabio Bella, J\""urgen M\""unch","Software Process Commonality Analysis","26 pages. The final publication is available at
  http://onlinelibrary.wiley.com/doi/10.1002/spip.229/abstract","International Journal on Software Process: Improvement and
  Practice, 10(3):273-285, 2005","10.1002/spip.229",,"cs.SE","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  To remain viable and thrive, software organizations must rapidly adapt to
frequent, and often rather far-ranging, changes to their operational context.
These changes typically concern many factors, including the nature of the
organization's marketplace in general, its customers' demands, and its business
needs. In today's most highly dynamic contexts, such as web services
development, other changes create additional, severe challenges. Most critical
are changes to the technology in which a software product is written or which
the software product has to control or use to provide its functionality. These
product-support technology changes are frequently relatively 'small' and
incremental. They are, therefore, often handled by relatively 'small,'
incremental changes to the organization's software processes. However, the
frequency of these changes is high, and their impact is elevated by
time-to-market and requirements change demands. The net result is an extremely
challenging need to create and manage a large number of customized process
variants, collectively having more commonalities than differences, and
incorporating experience-based, proven 'best practices'. This paper describes a
tool-based approach to coping with product-support technology changes. The
approach utilizes established capabilities such as descriptive process modeling
and the creation of reference models. It incorporates a new, innovative,
tool-based capability to analyze commonalities and differences among processes.
The paper includes an example-based evaluation of the approach in the domain of
Wireless Internet Services as well as a discussion of its potentially broader
application.
","[{""version"":""v1"",""created"":""Tue, 17 Dec 2013 12:19:21 GMT""}]","2013-12-18"
"1312.4743","Prateep Chakraborty","Prateep Chakraborty, Parameswaran Sankaran","Maps between certain complex Grassmann manifolds","7 pages","Topology and its Applications, 170 (2014), 119-123",,,"math.AT","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Let $k,l,m,n$ be positive integers such that $m-l\ge l>k, m-l>n-k\ge k$ and
$m-l>2k^2-k-1$. Let $G_{k}(\mathbb{C}^n)$ denote the Grassmann manifold of
$k$-dimensional vector subspaces of $\bc^n$. We show that any continuous map
$f:G_{l}(\bc^m)\to G_{k}(\mathbb{C}^n)$ is rationally null-homotopic. As an
application, we show the existence of a point $A\in G_{l}(\bc^m)$ such that the
vector space $f(A)$ is contained in $A$; here $\mathbb{C}^n$ is regarded as a
vector subspace of $\mathbb{C}^m\cong \bc^n\oplus\bc^{m-n}.$
","[{""version"":""v1"",""created"":""Tue, 17 Dec 2013 12:21:22 GMT""}]","2014-10-07"
"1312.4744","Frederic Bois","J\'er\'emy Hamon, Paul Jennings, Frederic Y. Bois","Integration of Omics Data and Systems Biology Modeling: Effect of
  Cyclosporine A on the Nrf2 Pathway in Human Renal Kidneys Cells","Six figures, 25 pages (45 with the supplemental material included)","BMC Systems Biology, 2014, 8:76","10.1186/1752-0509-8-76",,"q-bio.QM q-bio.MN","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  In a recent paper, Wilmes et al. demonstrated a qualitative integration of
omics data streams to gain a mechanistic understanding of cyclosporine A
toxicity. One of their major conclusions was that cyclosporine A strongly
activates the nuclear factor (erythroid-derived 2)-like 2 pathway (Nrf2) in
renal proximal tubular epithelial cells exposed in vitro. We pursue here the
analysis of those data with a quantitative integration of omics data with a
differential equation model of the Nrf2 pathway. That was done in two steps:
(i) Modeling the in vitro pharmacokinetics of cyclosporine A (exchange between
cells, culture medium and vial walls) with a minimal distribution model. (ii)
Modeling the time course of omics markers in response to cyclosporine A
exposure at the cell level with a coupled PK-systems biology model. Posterior
statistical distributions of the parameter values were obtained by Markov chain
Monte Carlo sampling. Data were well simulated, and the known in vitro toxic
effect EC50 was well matched by model predictions. The integration of in vitro
pharmacokinetics and systems biology modeling gives us a quantitative insight
into mechanisms of cyclosporine A oxidative-stress induction, and a way to
predict such a stress for a variety of exposure conditions.
","[{""version"":""v1"",""created"":""Tue, 17 Dec 2013 12:28:58 GMT""}]","2017-05-03"
"1312.4745","Josua Groeger","Josua Groeger","Super Wilson Loops and Holonomy on Supermanifolds","24 pages","Comm. Math. 22(2), Dec. 2014",,,"math-ph hep-th math.DG math.MP","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The classical Wilson loop is the gauge-invariant trace of the parallel
transport around a closed path with respect to a connection on a vector bundle
over a smooth manifold. We build a precise mathematical model of the super
Wilson loop, an extension introduced by Mason-Skinner and Caron-Huot, by
endowing the objects occurring with auxiliary Gra{\ss}mann generators coming
from S-points. A key feature of our model is a supergeometric parallel
transport, which allows for a natural notion of holonomy on a supermanifold as
a Lie group valued functor. Our main results for that theory comprise an
Ambrose-Singer theorem as well as a natural analogon of the holonomy principle.
Finally, we compare our holonomy functor with the holonomy supergroup
introduced by Galaev in the common situation of a topological point. It turns
out that both theories are different, yet related in a sense made precise.
","[{""version"":""v1"",""created"":""Tue, 17 Dec 2013 12:34:43 GMT""},{""version"":""v2"",""created"":""Thu, 16 Jan 2014 20:40:35 GMT""},{""version"":""v3"",""created"":""Tue, 4 Feb 2014 11:20:56 GMT""}]","2015-02-24"
"1312.4746","Martin Kleinsteuber","Claudia Nieuwenhuis, Daniel Cremers, Simon Hawe, Martin Kleinsteuber","Co-Sparse Textural Similarity for Image Segmentation",,,,,"cs.CV","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We propose an algorithm for segmenting natural images based on texture and
color information, which leverages the co-sparse analysis model for image
segmentation within a convex multilabel optimization framework. As a key
ingredient of this method, we introduce a novel textural similarity measure,
which builds upon the co-sparse representation of image patches. We propose a
Bayesian approach to merge textural similarity with information about color and
location. Combined with recently developed convex multilabel optimization
methods this leads to an efficient algorithm for both supervised and
unsupervised segmentation, which is easily parallelized on graphics hardware.
The approach provides competitive results in unsupervised segmentation and
outperforms state-of-the-art interactive segmentation methods on the Graz
Benchmark.
","[{""version"":""v1"",""created"":""Tue, 17 Dec 2013 12:35:19 GMT""}]","2013-12-18"
"1312.4747","Yi-Kuan Chiang","Yi-Kuan Chiang, Roderik Overzier and Karl Gebhardt","Discovery of a large number of candidate proto-clusters traced by ~15
  Mpc-scale galaxy overdensities in COSMOS","6 pages, 3 figures, 1 table; Accepted for publication in ApJL",,"10.1088/2041-8205/782/1/L3",,"astro-ph.CO","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  To demonstrate the feasibility of studying the epoch of massive galaxy
cluster formation in a more systematic manner using current and future galaxy
surveys, we report the discovery of a large sample of proto-cluster candidates
in the 1.62 deg^2 COSMOS/UltraVISTA field traced by optical/IR selected
galaxies using photometric redshifts. By comparing properly smoothed 3D galaxy
density maps of the observations and a set of matched simulations incorporating
the dominant observational effects (galaxy selection and photometric redshift
uncertainties), we first confirm that the observed ~15 comoving Mpc scale
galaxy clustering is consistent with LCDM models. Using further the relation
between high-z overdensity and the present day cluster mass calibrated in these
matched simulations, we found 36 candidate structures at 1.6<z<3.1, showing
overdensities consistent with the progenitors of M_z=0 ~10^15 M_sun clusters.
Taking into account the significant upward scattering of lower mass structures,
the probabilities for the candidates to have at least M_z=0 ~10^14 M_sun are
~70%. For each structure, about 15%-40% of photometric galaxy candidates are
expected to be true proto-cluster members that will merge into a cluster-scale
halo by z=0. With solely photometric redshifts, we successfully rediscover two
spectroscopically confirmed structures in this field, suggesting that our
algorithm is robust. This work generates a large sample of uniformly-selected
proto-cluster candidates, providing rich targets for spectroscopic follow-up
and subsequent studies of cluster formation. Meanwhile, it demonstrates the
potential for probing early cluster formation with upcoming redshift surveys
such as the Hobby-Eberly Telescope Dark Energy Experiment and the Subaru Prime
Focus Spectrograph survey.
","[{""version"":""v1"",""created"":""Tue, 17 Dec 2013 12:37:13 GMT""}]","2015-06-18"
